Category Name,2nd Category,3rd Category,brand,Manufacture pin,Product Name,stock,description,Retail price inc GST, url, Image Url
Printers,Inkjet,Inkjet Printers,BROTHER,2635091,HLS7000DN 100ppm Duplex Network Mono,with In Stock,- Monochrome - 600 x 600 dpi Print - Plain Paper Print - Desktop - 100 ppm Mono Print - 600 sheets Standard Input Capacity - 275000 pages per month - Automatic Duplex Print - LCD - Ethernet - Wireless LAN - USB Imagine being able to print up to 100 black and white pages per minute without reloading the paper tray. With the HLS7000DN you can do it.If your work group has high-volume print demands you’ll be looking for speed reliability and cost efficiency. This printer delivers.It is cost-effective – printing 30000 sheets from a single super high yield ink cartridge and consuming approximately one sixth (16 percent) of the power of similar printers.It is also extremely reliable — a low touch machine which means it doesn’t jam or break down.And it has high paper capacity: expandable to 2100 sheets with the optional additional paper trays. (With optional paper trays expanding paper capacity to 2100 sheets if needed) HLS7000DN | High speed inkjet printerFunctionsPrintConnectivityNetwork / USBPrinter TypeBlack & White InkjetDouble Sided Print/Scan/CopyPrint onlyPrint SpeedUp to 100ppm (black & white)Ink/TonerHC05BK 30000 pages @ 5% coveragePaper SizeA4 Letter B5(/JIS) A5 A5(Long Edge) Exective Legal FolioDimensions (WxDxH) With Carton665x642x729mm 52kg  ,2999.0000,http://www.citywidetech.co.nz/p.aspx?1405,https://www.citywidetech.co.nz/pi/1405.png
Printers,Inkjet,Inkjet-Baseds MFPs,Epson,3640,Epson WorkForce WF-3640,with In Stock,***LIMITED STOCK. PLEASE CALL FOR AVAILABILTY***Epson WF-3640 ,239.0000,http://www.citywidetech.co.nz/p.aspx?54788,https://www.citywidetech.co.nz/pi/54788.png
Consumables,Brother,Miscellaneous Consumables,Brother,BDK11201,Brother DK11201 White Label,with In Stock,BROTHER QL570 BROTHER QL720NW,24.9200,http://www.citywidetech.co.nz/p.aspx?55765,https://www.citywidetech.co.nz/pi/55765.jpg
Consumables,Brother,Miscellaneous Consumables,Brother,BDK11202,Brother DK11202 White Label,with In Stock,BROTHER QL570 BROTHER QL720NW,40.6700,http://www.citywidetech.co.nz/p.aspx?55766,https://www.citywidetech.co.nz/pi/55766.jpg
Consumables,Brother,Miscellaneous Consumables,Brother,BDK11204,Brother DK11204 White Label,with In Stock,BROTHER QL570 BROTHER QL720NW,24.9200,http://www.citywidetech.co.nz/p.aspx?55767,https://www.citywidetech.co.nz/pi/55767.jpg
Consumables,Brother,Miscellaneous Consumables,Brother,BDK11208,Brother DK11208 White Label,with In Stock,BROTHER QL570 BROTHER QL720NW,34.7700,http://www.citywidetech.co.nz/p.aspx?55768,https://www.citywidetech.co.nz/pi/55768.jpg
Consumables,Brother,Miscellaneous Consumables,Brother,BDK11209,Brother DK11209 White Label,with In Stock,BROTHER QL570 BROTHER QL720NW,39.3700,http://www.citywidetech.co.nz/p.aspx?55769,https://www.citywidetech.co.nz/pi/55769.jpg
Consumables,Brother,Miscellaneous Consumables,Brother,BDK22205,Brother DK22205 White Roll,with In Stock,BROTHER QL570 BROTHER QL720NW,38.7100,http://www.citywidetech.co.nz/p.aspx?55770,https://www.citywidetech.co.nz/pi/55770.jpg
Consumables,Brother,Miscellaneous Consumables,Brother,BDK22212,Brother DK22212 White Roll,with In Stock,BROTHER QL570 BROTHER QL720NW,89.9300,http://www.citywidetech.co.nz/p.aspx?55771,https://www.citywidetech.co.nz/pi/55771.jpg
Consumables,Brother,Miscellaneous Consumables,Brother,BDK22243,Brother DK22243 White Roll,with In Stock,BROTHER QL500W BROTHER QL700 BROTHER QL720NW BROTHER QL580N BROTHER QL650TD BROTHER QL1050,64.1700,http://www.citywidetech.co.nz/p.aspx?55772,https://www.citywidetech.co.nz/pi/55772.jpg
Printers,Toners,Brother,Brother,BF837MCS,Brother FAX837MCS Fax Machine,Out of stock,BROTHER PC402RF  BROTHER PC404RF BROTHER PC501,146.7400,http://www.citywidetech.co.nz/p.aspx?55774,https://www.citywidetech.co.nz/pi/55774.jpg
Printers,Toners,Brother,Brother,BF878,Brother FAX838 Fax Machine,Out of stock,BROTHER PC402RF BROTHER PC501,106.0100,http://www.citywidetech.co.nz/p.aspx?55775,https://www.citywidetech.co.nz/pi/55775.jpg
Consumables,Brother,Labelling Tape,Brother,BHSE251,Brother HSe251 Labelling Tape,with In Stock,Brother PT-E550WVP,41.9000,http://www.citywidetech.co.nz/p.aspx?55776,https://www.citywidetech.co.nz/pi/55776.jpg
Consumables,Brother,Miscellaneous Consumables,Brother,BMK231,Brother MK231 Black/White 12mm,with In Stock,BROTHER PT90,17.7100,http://www.citywidetech.co.nz/p.aspx?55777,
Consumables,Brother,Toner,Brother,BN1070,Brother TN1070 Blk Toner Cart,with In Stock,BROTHER HL 1110 BROTHER DPC 1510 BROTHER MFC 1810 BROTHER MFC 1910,62.3300,http://www.citywidetech.co.nz/p.aspx?55779,https://www.citywidetech.co.nz/pi/55779.jpg
Consumables,Brother,Toner,Brother,BN150B,Brother TN150 Black Toner,with In Stock,BROTHER DCP 9040CN BROTHER DCP 9042CDN BROTHER HL 4040CN BROTHER HL 4050CDN BROTHER MFC 9440CN BROTHER MFC 9450CDN BROTHER MFC 9840CDWDCP9040CN DCP9042CDN HL4040CN HL4050CDN MFC9440CN MFC9450CDN MFC9840CDW,100.5200,http://www.citywidetech.co.nz/p.aspx?55780,https://www.citywidetech.co.nz/pi/55780.jpg
Consumables,Brother,Toner,Brother,BN150C,Brother TN150 Cyan Toner,with In Stock,BROTHER DCP 9040CN BROTHER DCP 9042CDN BROTHER HL 4040CN BROTHER HL 4050CDN BROTHER MFC 9440CN BROTHER MFC 9450CDN BROTHER MFC 9840CDWDCP9040CN DCP9042CDN HL4040CN HL4050CDN MFC9440CN MFC9450CDN MFC9840CDW,115.9800,http://www.citywidetech.co.nz/p.aspx?55781,https://www.citywidetech.co.nz/pi/55781.jpg
Consumables,Brother,Toner,Brother,BN150M,Brother TN150 Magenta Toner,with In Stock,BROTHER DCP 9040CN BROTHER DCP 9042CDN BROTHER HL 4040CN BROTHER HL 4050CDN BROTHER MFC 9440CN BROTHER MFC 9450CDN BROTHER MFC 9840CDW,115.9800,http://www.citywidetech.co.nz/p.aspx?55782,https://www.citywidetech.co.nz/pi/55782.png
Consumables,Brother,Toner,Brother,BN150Y,Brother TN150 Yellow Toner,with In Stock,BROTHER DCP 9040CN BROTHER DCP 9042CDN BROTHER HL 4040CN BROTHER HL 4050CDN BROTHER MFC 9440CN BROTHER MFC 9450CDN BROTHER MFC 9840CDW,115.9800,http://www.citywidetech.co.nz/p.aspx?55783,https://www.citywidetech.co.nz/pi/55783.jpg
Consumables,Brother,Toner,Brother,BN155B,Brother TN155 Black Toner,with In Stock,BROTHER DCP 9040CN BROTHER DCP 9042CDN BROTHER HL 4040CN BROTHER HL 4050CDN BROTHER MFC 9440CN BROTHER MFC 9450CDN BROTHER MFC 9840CDW,154.6500,http://www.citywidetech.co.nz/p.aspx?55784,https://www.citywidetech.co.nz/pi/55784.jpg
Consumables,Brother,Toner,Brother,BN155C,Brother TN155 Cyan Toner,with In Stock,BROTHER DCP 9040CN BROTHER DCP 9042CDN BROTHER HL 4040CN BROTHER HL 4050CDN BROTHER MFC 9440CN BROTHER MFC 9450CDN BROTHER MFC 9840CDW,212.6500,http://www.citywidetech.co.nz/p.aspx?55785,https://www.citywidetech.co.nz/pi/55785.jpg
Consumables,Brother,Toner,Brother,BN155M,Brother TN155 Magenta Toner,with In Stock,BROTHER DCP 9040CN BROTHER DCP 9042CDN BROTHER HL 4040CN BROTHER HL 4050CDN BROTHER MFC 9440CN BROTHER MFC 9450CDN BROTHER MFC 9840CDWDCP9040CN DCP9042CDN HL4040CN HL4050CDN MFC9440CN MFC9450CDN MFC9840CDW,212.6500,http://www.citywidetech.co.nz/p.aspx?55786,https://www.citywidetech.co.nz/pi/55786.jpg
Consumables,Brother,Toner,Brother,BN155Y,Brother TN155 Yellow Toner,with In Stock,BROTHER DCP 9040CN BROTHER DCP 9042CDN BROTHER HL 4040CN BROTHER HL 4050CDN BROTHER MFC 9440CN BROTHER MFC 9450CDN BROTHER MFC 9840CDWDCP9040CN DCP9042CDN HL4040CN HL4050CDN MFC9440CN MFC9450CDN MFC9840CDW,212.6500,http://www.citywidetech.co.nz/p.aspx?55787,https://www.citywidetech.co.nz/pi/55787.jpg
Consumables,Brother,Toner,Brother,BN2025,Brother TN2025 Black Toner,with In Stock,BROTHER HL 2040 BROTHER HL 2070N BROTHER MFC 7220 BROTHER MFC 7420 BROTHER MFC 7820N BROTHER FAX 2820 BROTHER FAX 2890 BROTHER FAX 2920,92.7800,http://www.citywidetech.co.nz/p.aspx?55788,https://www.citywidetech.co.nz/pi/55788.jpg
Consumables,Brother,Toner,Brother,BN2030,Brother TN2030 Black Toner,with In Stock,BROTHER DCP 7055 BROTHER HL 2130 BROTHER HL 2132 BROTHER HL 2135,62.4900,http://www.citywidetech.co.nz/p.aspx?55789,https://www.citywidetech.co.nz/pi/55789.jpg
Consumables,Brother,Toner,Brother,BN2130,Brother TN2130 Black Toner,with In Stock,BROTHER DCP 7040 BROTHER HL 2140 BROTHER HL 2142 BROTHER HL 2150N BROTHER HL 2170W BROTHER MFC 7340 BROTHER MFC 7440 BROTHER MFC 7840W,81.1800,http://www.citywidetech.co.nz/p.aspx?55790,https://www.citywidetech.co.nz/pi/55790.jpg
Consumables,Brother,Toner,Brother,BN2150,Brother TN2150 Black Toner,with In Stock,BROTHER DCP 7040 BROTHER HL 2140 BROTHER HL 2142 BROTHER HL 2150N BROTHER HL 2170W BROTHER MFC 7340 BROTHER MFC 7440 BROTHER MFC 7840W,105.9200,http://www.citywidetech.co.nz/p.aspx?55791,https://www.citywidetech.co.nz/pi/55791.jpg
Consumables,Brother,Toner,Brother,BN2230,Brother TN2230 Black Toner,with In Stock,BROTHER DCP 7060D BROTHER DCP 7065DN BROTHER FAX 2840 BROTHER FAX 2950 BROTHER HL 2240D BROTHER HL 2242 BROTHER HL 2250DN BROTHER HL 2270DW BROTHER MFC 7240 BROTHER MFC 7360N BROTHER MFC 7362N BROTHER MFC 7460DN BROTHER MFC 7860DW,74.0400,http://www.citywidetech.co.nz/p.aspx?55792,https://www.citywidetech.co.nz/pi/55792.jpg
Consumables,Brother,Toner,Brother,BN2250,Brother TN2250 Black Toner,with In Stock,BROTHER DCP 7060D BROTHER DCP 7065DN BROTHER FAX 2840 BROTHER FAX 2950 BROTHER HL 2240D BROTHER HL 2242D BROTHER HL 2250DN BROTHER HL 2270DW BROTHER MFC 7240 BROTHER MFC 7360N BROTHER MFC 7362N BROTHER MFC 7460DN BROTHER MFC 7860DW,106.6400,http://www.citywidetech.co.nz/p.aspx?55793,https://www.citywidetech.co.nz/pi/55793.jpg
Consumables,Brother,Toner,Brother,BN2315,Brother TN2315 Black Toner,with In Stock,BROTHER HLL2300D BROTHER MFCL2700DW BROTHER HLL2365DW,66.2400,http://www.citywidetech.co.nz/p.aspx?55794,https://www.citywidetech.co.nz/pi/55794.jpg
Consumables,Brother,Toner,Brother,BN2345,Brother TN2345 Black Toner,with In Stock,BROTHER HLL2300D BROTHER HLL2340DW BROTHER HLL2365DW BROTHER HLL2380DW BROTHER MFCL2700DW BROTHER MFCL2720DW BROTHER MFCL2740DW,101.3900,http://www.citywidetech.co.nz/p.aspx?55795,https://www.citywidetech.co.nz/pi/55795.png
Consumables,Brother,Toner,Brother,BN240B,Brother TN240 Black Toner,with In Stock,BROTHER DCP 9010CN BROTHER HL 3070CW BROTHER HL 3075CW BROTHER HL 3040CN BROTHER HL 3045CN BROTHER MFC 9120CN BROTHER MFC 9125CN BROTHER MFC 9320CW BROTHER MFC 9325CW,101.0600,http://www.citywidetech.co.nz/p.aspx?55796,https://www.citywidetech.co.nz/pi/55796.jpg
Consumables,Brother,Toner,Brother,BN240C,Brother TN240 Cyan Toner,with In Stock,BROTHER DCP 9010CN BROTHER HL 3070CW BROTHER HL 3075CW BROTHER HL 3040CN BROTHER HL 3045CN BROTHER MFC 9120CN BROTHER MFC 9125CN BROTHER MFC 9320CW BROTHER MFC 9325CW,99.6700,http://www.citywidetech.co.nz/p.aspx?55797,https://www.citywidetech.co.nz/pi/55797.jpg
Consumables,Brother,Toner,Brother,BN240M,Brother TN240 Magenta Toner,with In Stock,BROTHER DCP 9010CN BROTHER HL 3070CW BROTHER HL 3075CW BROTHER HL 3040CN BROTHER HL 3045CN BROTHER MFC 9120CN BROTHER MFC 9125CN BROTHER MFC 9320CW BROTHER MFC 9325CW,99.6700,http://www.citywidetech.co.nz/p.aspx?55798,https://www.citywidetech.co.nz/pi/55798.jpg
Consumables,Brother,Toner,Brother,BN240Y,Brother TN240 Yellow Toner,with In Stock,BROTHER DCP 9010CN BROTHER HL 3070CW BROTHER HL 3075CW BROTHER HL 3040CN BROTHER HL 3045CN BROTHER MFC 9120CN BROTHER MFC 9125CN BROTHER MFC 9320CW BROTHER MFC 9325CW,99.6700,http://www.citywidetech.co.nz/p.aspx?55799,https://www.citywidetech.co.nz/pi/55799.jpg
Consumables,Brother,Toner,Brother,BN251B,Brother TN251 Black Toner,with In Stock,BROTHER HL3150CDN BROTHER HL3170CDW BROTHER MFC9140CDN BROTHER MFC9330CDW BROTHER MFC9340CDW,124.8200,http://www.citywidetech.co.nz/p.aspx?55800,https://www.citywidetech.co.nz/pi/55800.jpg
Consumables,Brother,Toner,Brother,BN251C,Brother TN251 Cyan Toner,with In Stock,BROTHER HL3150CDN BROTHER HL3170CDW BROTHER MFC9140CDN BROTHER MFC9330CDW BROTHER MFC9340CDW,115.4400,http://www.citywidetech.co.nz/p.aspx?55801,https://www.citywidetech.co.nz/pi/55801.jpg
Consumables,Brother,Toner,Brother,BN251M,Brother TN251 Magenta Toner,with In Stock,BROTHER HL3150CDN BROTHER HL3170CDW BROTHER MFC9140CDN BROTHER MFC9330CDW BROTHER MFC9340CDW,115.4400,http://www.citywidetech.co.nz/p.aspx?55802,https://www.citywidetech.co.nz/pi/55802.jpg
Consumables,Brother,Toner,Brother,BN251Y,Brother TN251 Yellow Toner,with In Stock,BROTHER HL3150CDN BROTHER HL3170CDW BROTHER MFC9140CDN BROTHER MFC9330CDW BROTHER MFC9340CDW,115.4400,http://www.citywidetech.co.nz/p.aspx?55803,https://www.citywidetech.co.nz/pi/55803.jpg
Consumables,Brother,Toner,Brother,BN255C,Brother TN255 Cyan Toner,with In Stock,BROTHER HL3150CDN BROTHER HL3170CDW BROTHER MFC9140CDN BROTHER MFC9330CDW BROTHER MFC9340CDW,153.7200,http://www.citywidetech.co.nz/p.aspx?55804,https://www.citywidetech.co.nz/pi/55804.jpg
Consumables,Brother,Toner,Brother,BN255M,Brother TN255 Magenta Toner,with In Stock,BROTHER HL3150CDN BROTHER HL3170CDW BROTHER MFC9140CDN BROTHER MFC9330CDW BROTHER MFC9340CDW,153.7200,http://www.citywidetech.co.nz/p.aspx?55805,https://www.citywidetech.co.nz/pi/55805.jpg
Consumables,Brother,Toner,Brother,BN255Y,Brother TN255 Yellow Toner,with In Stock,BROTHER HL3150CDN BROTHER HL3170CDW BROTHER MFC9140CDN BROTHER MFC9330CDW BROTHER MFC9340CDW,153.7200,http://www.citywidetech.co.nz/p.aspx?55806,https://www.citywidetech.co.nz/pi/55806.jpg
Consumables,Brother,Toner,Brother,BN3060,Brother TN3060 Black Toner,with In Stock,BROTHER HL 5140 BROTHER HL 5150D BROTHER HL 5170DN BROTHER MFC 8220 BROTHER MFC 8440 BROTHER MFC 8840,172.4300,http://www.citywidetech.co.nz/p.aspx?55807,https://www.citywidetech.co.nz/pi/55807.jpg
Consumables,Brother,Toner,Brother,BN3145,Brother TN3145 Black Toner,with In Stock,BROTHER HL 5240 BROTHER HL 5250DN BROTHER HL 5270DN BROTHER MFC 8460N BROTHER MFC 8860DN,123.2700,http://www.citywidetech.co.nz/p.aspx?55808,https://www.citywidetech.co.nz/pi/55808.jpg
Consumables,Brother,Toner,Brother,BN3185,Brother TN3185 Black Toner,with In Stock,BROTHER HL 5240 BROTHER HL 5250DN BROTHER HL 5270DN BROTHER MFC 8460N BROTHER MFC 8860DN,188.5600,http://www.citywidetech.co.nz/p.aspx?55809,https://www.citywidetech.co.nz/pi/55809.jpg
Consumables,Brother,Toner,Brother,BN3250,Brother TN3250 Black Toner,with In Stock,BROTHER HL 5340D BROTHER HL 5350DN BROTHER HL 5370DW BROTHER HL 5380DN BROTHER MFC 8880DN BROTHER MFC 8890DW BROTHER MFC 8370DN,134.0600,http://www.citywidetech.co.nz/p.aspx?55810,https://www.citywidetech.co.nz/pi/55810.jpg
Consumables,Brother,Toner,Brother,BN3290,Brother TN3290 Black Toner,with In Stock,BROTHER HL 5340D BROTHER HL 5350DN BROTHER HL 5370DW BROTHER HL 5380DN BROTHER MFC 8880DN BROTHER MFC 8890DW BROTHER MFC 8370DN,222.7200,http://www.citywidetech.co.nz/p.aspx?55811,https://www.citywidetech.co.nz/pi/55811.png
